checkpoint,round,client_id,role,weight_space,scope,layer,n_params,clean_update_norm,poison_update_norm,bd_update_norm,stochastic_norm,cosine_poison_clean,cosine_bd_clean,conflict_ratio,conflict_n,bd_norm_frac,bd_energy_frac,occupation_abs_mean,occupation_rank_mean
r0005,5,1,benign,personal,backbone,conv2d_5,590080,0.0,0.0,0.0,0.0,,,,0,,,0.0,0.5
r0005,5,1,benign,personal,backbone,batch_normalization_5,1024,0.0,0.0,0.0,0.0,,,,0,,,0.0,0.5
r0005,5,1,benign,personal,backbone,dense,4195328,0.0,0.0,0.0,0.0,,,,0,,,0.0,0.5
r0005,5,1,benign,personal,backbone,dense_1,524800,0.0,0.0,0.0,0.0,,,,0,,,0.0,0.5
r0005,5,1,benign,personal,backbone,__all__,5849664,0.0,0.0,0.0,0.0,,,,0,1.0,1.0,0.0,0.5
r0005,5,1,benign,personal,head,dense_2,5130,0.08344552949145302,0.08344552949145302,0.0,0.041029849508164545,1.0,,,0,,,0.0006339434955735327,0.5
r0005,5,1,benign,personal,head,__all__,5130,0.08344552949145302,0.08344552949145302,0.0,0.041029849508164545,1.0,,,0,1.0,1.0,0.0006339434955735327,0.5
r0005,5,0,malicious,upload,backbone,conv2d,896,0.2990373362705697,0.5710063970490593,0.5915630687785977,0.3229250319001376,0.19187090214183436,-0.32030029178010977,0.6685267857142857,896,0.027004065194353662,0.005997515476501111,0.007740897529609127,0.9236661124141438
r0005,5,0,malicious,upload,backbone,batch_normalization,128,0.23565507670448074,0.2811979714265989,0.2463310796983134,0.16070771530862288,0.557804265915566,-0.3199013648832861,0.578125,128,0.01124468528656305,0.0010399385839106718,0.01164265149145649,0.9675959531504208
r0005,5,0,malicious,upload,backbone,conv2d_1,18496,0.5197246460321342,0.6943059565288362,0.789805795406713,0.5670088522956848,0.1778883379053229,-0.5016622006066713,0.7000432525951558,18496,0.036053581292823364,0.010690792571965488,0.002939309232684308,0.8801926470732272
r0005,5,0,malicious,upload,backbone,batch_normalization_1,256,0.8872513340519862,0.9385996869218652,1.1468482444830237,1.033915577097501,0.21189630300427628,-0.6002237234344653,0.63671875,256,0.05235209294926505,0.022541415233010002,0.03083867120585637,0.9273308491499852
r0005,5,0,malicious,upload,backbone,conv2d_2,73856,0.6339030631499031,0.6350261549090733,0.8101523977645162,0.7826984897206989,0.18475498914011712,-0.6376316532985588,0.7198873483535528,73856,0.0369823765566794,0.011248709839704947,0.0018289522657701774,0.8263970891605923
r0005,5,0,malicious,upload,backbone,batch_normalization_2,512,2.0486444174444935,2.3003142902722096,2.3152956470928805,2.2856488329567344,0.43796000099393423,-0.4497044520102605,0.658203125,512,0.10569015866286177,0.09187179070591289,0.048502941498171026,0.8872497473024835
r0005,5,0,malicious,upload,backbone,conv2d_3,147584,0.6671435080763715,0.6459733302691083,0.8496564851456017,0.8302375857169806,0.16294652266387452,-0.6613077284382166,0.7292253902862099,147584,0.03878568546385112,0.012372459021773934,0.0013645037602887356,0.7793185851609729
r0005,5,0,malicious,upload,backbone,batch_normalization_3,512,1.4314200445507264,1.7519908735409297,1.8376792081728828,1.6457325589113303,0.34718603732119496,-0.44793088512061807,0.6953125,512,0.08388760516485463,0.05787735482046149,0.03510428996432324,0.8872293995758282
r0005,5,0,malicious,upload,backbone,conv2d_4,295168,0.8211515449588442,0.7694376069770804,1.044249908229444,1.0477637537541058,0.13917323107626975,-0.6838079864353739,0.7390062608412836,295168,0.04766861572215503,0.018688659974426855,0.0011926674609067038,0.7556048644792797
r0005,5,0,malicious,upload,backbone,batch_normalization_4,1024,3.6315882522878886,3.831203157651362,4.791946185230097,4.582437284154351,0.17622649362202764,-0.6169578364815982,0.7060546875,1024,0.2187459529225932,0.3935438547903465,0.058929008271633165,0.8527742676059127
r0005,5,0,malicious,upload,backbone,conv2d_5,590080,0.9168719417215165,0.8512389649761782,1.1583320098441134,1.162046597669344,0.14320015368456748,-0.6863096110021736,0.7396166621475054,590080,0.05287631152350399,0.02299510446539048,0.0009401122534066235,0.7075176066023483
r0005,5,0,malicious,upload,backbone,batch_normalization_5,1024,2.8036196087136958,3.376345846822853,4.257794498881517,3.404169863363174,0.05974970472870372,-0.6110872526344788,0.7177734375,1024,0.19436264077362345,0.310698147583243,0.048541185305907675,0.9109665964945332
r0005,5,0,malicious,upload,backbone,dense,4195328,1.0839021326378528,1.0193230610376764,1.3676649147978095,1.386385811132701,0.1553863072556907,-0.6767105569967672,0.7431445936430798,4195302,0.062432079472920586,0.03205742853759745,0.00036379856041597256,0.44645149605008355
r0005,5,0,malicious,upload,backbone,dense_1,524800,0.566509341945003,0.5396906749480149,0.6991255498856599,0.704813491788545,0.20184209080684432,-0.6544991064785314,0.7437471961595534,521606,0.03191414901395168,0.008376828395755266,0.0004268684508871259,0.40980627584376006
r0005,5,0,malicious,upload,backbone,__all__,5849664,5.6881053926298515,6.298758988935018,7.638628071719704,6.943285850313051,0.19091586069125896,-0.5872222539701648,0.7418095512417463,5846444,1.0,1.0,0.0005499553866161738,0.5000000000000009
r0005,5,0,malicious,upload,head,dense_2,5130,0.2906186234569511,0.15996187073567997,0.3528644975341575,0.0669283455430931,-0.15559285191437922,-0.8941323059422546,0.7263157894736842,5130,1.0,1.0,0.0019570084336258246,0.5
r0005,5,0,malicious,upload,head,__all__,5130,0.2906186234569511,0.15996187073567997,0.3528644975341575,0.0669283455430931,-0.15559285191437922,-0.8941323059422546,0.7263157894736842,5130,1.0,1.0,0.0019570084336258246,0.5
r0005,5,0,malicious,personal,backbone,conv2d,896,0.0,0.0,0.0,0.0,,,,0,,,0.0,0.5
r0005,5,0,malicious,personal,backbone,batch_normalization,128,0.0,0.0,0.0,0.0,,,,0,,,0.0,0.5
r0005,5,0,malicious,personal,backbone,conv2d_1,18496,0.0,0.0,0.0,0.0,,,,0,,,0.0,0.5
r0005,5,0,malicious,personal,backbone,batch_normalization_1,256,0.0,0.0,0.0,0.0,,,,0,,,0.0,0.5
r0005,5,0,malicious,personal,backbone,conv2d_2,73856,0.0,0.0,0.0,0.0,,,,0,,,0.0,0.5
r0005,5,0,malicious,personal,backbone,batch_normalization_2,512,0.0,0.0,0.0,0.0,,,,0,,,0.0,0.5
r0005,5,0,malicious,personal,backbone,conv2d_3,147584,0.0,0.0,0.0,0.0,,,,0,,,0.0,0.5
r0005,5,0,malicious,personal,backbone,batch_normalization_3,512,0.0,0.0,0.0,0.0,,,,0,,,0.0,0.5
r0005,5,0,malicious,personal,backbone,conv2d_4,295168,0.0,0.0,0.0,0.0,,,,0,,,0.0,0.5
r0005,5,0,malicious,personal,backbone,batch_normalization_4,1024,0.0,0.0,0.0,0.0,,,,0,,,0.0,0.5
r0005,5,0,malicious,personal,backbone,conv2d_5,590080,0.0,0.0,0.0,0.0,,,,0,,,0.0,0.5
r0005,5,0,malicious,personal,backbone,batch_normalization_5,1024,0.0,0.0,0.0,0.0,,,,0,,,0.0,0.5
r0005,5,0,malicious,personal,backbone,dense,4195328,0.0,0.0,0.0,0.0,,,,0,,,0.0,0.5
r0005,5,0,malicious,personal,backbone,dense_1,524800,0.0,0.0,0.0,0.0,,,,0,,,0.0,0.5
r0005,5,0,malicious,personal,backbone,__all__,5849664,0.0,0.0,0.0,0.0,,,,0,1.0,1.0,0.0,0.5
r0005,5,0,malicious,personal,head,dense_2,5130,0.2906186234569511,0.15996187073567997,0.3528644975341575,0.0669283455430931,-0.15559285191437922,-0.8941323059422546,0.7263157894736842,5130,1.0,1.0,0.0019570084336258246,0.5
r0005,5,0,malicious,personal,head,__all__,5130,0.2906186234569511,0.15996187073567997,0.3528644975341575,0.0669283455430931,-0.15559285191437922,-0.8941323059422546,0.7263157894736842,5130,1.0,1.0,0.0019570084336258246,0.5
