
====================================================
 Centralized Training Start
====================================================
  [Epoch 177/200] train_loss=0.0021 | test_loss=0.7483 | test_acc=0.8749 | time=36.4s
  [Epoch 178/200] train_loss=0.0022 | test_loss=0.7849 | test_acc=0.8676 | time=36.3s
  [Epoch 179/200] train_loss=0.0025 | test_loss=0.7406 | test_acc=0.8744 | time=36.3s
  [Epoch 180/200] train_loss=0.0030 | test_loss=0.7784 | test_acc=0.8717 | time=36.3s
  [Epoch 181/200] train_loss=0.0028 | test_loss=0.7523 | test_acc=0.8719 | time=36.4s
  [Epoch 182/200] train_loss=0.0033 | test_loss=0.7395 | test_acc=0.8745 | time=36.4s
  [Epoch 183/200] train_loss=0.0021 | test_loss=0.7298 | test_acc=0.8779 | time=36.4s
  [Epoch 184/200] train_loss=0.0029 | test_loss=0.8247 | test_acc=0.8615 | time=36.4s
  [Epoch 185/200] train_loss=0.0020 | test_loss=0.7478 | test_acc=0.8709 | time=36.4s
  [Epoch 186/200] train_loss=0.0028 | test_loss=0.7233 | test_acc=0.8764 | time=36.4s
  [Epoch 187/200] train_loss=0.0023 | test_loss=0.7190 | test_acc=0.8796 | time=36.3s
  [Epoch 188/200] train_loss=0.0027 | test_loss=0.7277 | test_acc=0.8763 | time=36.3s
  [Epoch 189/200] train_loss=0.0021 | test_loss=0.7319 | test_acc=0.8752 | time=36.3s
  [Epoch 190/200] train_loss=0.0029 | test_loss=0.7431 | test_acc=0.8773 | time=36.3s
  [Epoch 191/200] train_loss=0.0032 | test_loss=0.7386 | test_acc=0.8751 | time=36.4s
  [Epoch 192/200] train_loss=0.0029 | test_loss=0.7283 | test_acc=0.8780 | time=36.4s
  [Epoch 193/200] train_loss=0.0024 | test_loss=0.7668 | test_acc=0.8709 | time=36.4s
  [Epoch 194/200] train_loss=0.0027 | test_loss=0.7246 | test_acc=0.8777 | time=36.4s
  [Epoch 195/200] train_loss=0.0026 | test_loss=0.7429 | test_acc=0.8768 | time=36.4s
  [Epoch 196/200] train_loss=0.0021 | test_loss=0.7437 | test_acc=0.8740 | time=36.3s
  [Epoch 197/200] train_loss=0.0021 | test_loss=0.7326 | test_acc=0.8755 | time=36.4s
