
====================================================
 Centralized Training Start
====================================================
  [Epoch 149/600] train_loss=0.0002 | test_loss=1.1149 | test_acc=0.8685 | time=15.1s
  [Epoch 150/600] train_loss=0.0003 | test_loss=1.1182 | test_acc=0.8690 | time=15.2s
  [Epoch 151/600] train_loss=0.0002 | test_loss=1.1105 | test_acc=0.8684 | time=15.1s
  [Epoch 152/600] train_loss=0.0001 | test_loss=1.1143 | test_acc=0.8705 | time=15.1s
  [Epoch 153/600] train_loss=0.0003 | test_loss=1.1315 | test_acc=0.8695 | time=15.1s
  [Epoch 154/600] train_loss=0.0001 | test_loss=1.1468 | test_acc=0.8704 | time=15.1s
  [Epoch 155/600] train_loss=0.0001 | test_loss=1.1327 | test_acc=0.8698 | time=15.1s
  [Epoch 156/600] train_loss=0.0001 | test_loss=1.1248 | test_acc=0.8692 | time=15.1s
  [Epoch 157/600] train_loss=0.0001 | test_loss=1.1178 | test_acc=0.8694 | time=15.1s
  [Epoch 158/600] train_loss=0.0002 | test_loss=1.1251 | test_acc=0.8683 | time=15.1s
  [Epoch 159/600] train_loss=0.0001 | test_loss=1.1335 | test_acc=0.8691 | time=15.1s
  [Epoch 160/600] train_loss=0.0001 | test_loss=1.1282 | test_acc=0.8691 | time=15.2s
  [Epoch 161/600] train_loss=0.0001 | test_loss=1.1244 | test_acc=0.8703 | time=15.3s
  [Epoch 162/600] train_loss=0.0002 | test_loss=1.1496 | test_acc=0.8668 | time=15.3s
  [Epoch 163/600] train_loss=0.0006 | test_loss=1.1542 | test_acc=0.8657 | time=15.1s
  [Epoch 164/600] train_loss=0.0001 | test_loss=1.1218 | test_acc=0.8666 | time=15.2s
  [Epoch 165/600] train_loss=0.0001 | test_loss=1.1366 | test_acc=0.8686 | time=15.2s
  [Epoch 166/600] train_loss=0.0000 | test_loss=1.1339 | test_acc=0.8682 | time=15.1s
  [Epoch 167/600] train_loss=0.0003 | test_loss=1.1116 | test_acc=0.8687 | time=15.2s
  [Epoch 168/600] train_loss=0.0001 | test_loss=1.1136 | test_acc=0.8685 | time=15.2s
  [Epoch 169/600] train_loss=0.0001 | test_loss=1.1228 | test_acc=0.8685 | time=15.3s
