
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Phase 1: Cloud broadcasting to 2 edges...
  [Edge 0] G-Round 1 | E-Round 1 | Selected 68/98 clients
  [Client 42] Round 1 | loss=1.8757 | time=0.7s
  [Client 95] Round 1 | loss=0.9946 | time=0.8s
  [Client 41] Round 1 | loss=2.0277 | time=0.8s
  [Client  2] Round 1 | loss=1.6834 | time=0.8s
  [Client 68] Round 1 | loss=1.4170 | time=0.4s
  [Client 77] Round 1 | loss=1.3878 | time=0.7s
  [Client  1] Round 1 | loss=1.5979 | time=0.5s
  [Client 37] Round 1 | loss=1.8346 | time=1.4s
  [Client 83] Round 1 | loss=1.8063 | time=1.6s
  [Client 71] Round 1 | loss=1.6619 | time=0.6s
  [Client 99] Round 1 | loss=1.9565 | time=2.0s
  [Client 85] Round 1 | loss=1.6950 | time=1.5s
  [Client  0] Round 1 | loss=1.7633 | time=1.0s
  [Client 80] Round 1 | loss=1.7593 | time=0.6s
  [Client 81] Round 1 | loss=1.6991 | time=0.7s
  [Client 49] Round 1 | loss=1.8479 | time=0.8s
  [Client 47] Round 1 | loss=1.7661 | time=1.2s
  [Client 78] Round 1 | loss=1.4623 | time=1.3s
  [Client 69] Round 1 | loss=1.8949 | time=1.4s
  [Client  3] Round 1 | loss=1.7134 | time=1.4s
  [Client 52] Round 1 | loss=1.7893 | time=0.5s
  [Client 18] Round 1 | loss=1.8324 | time=1.6s
  [Client 73] Round 1 | loss=2.0520 | time=1.0s
  [Client 60] Round 1 | loss=1.6347 | time=0.8s
  [Client 30] Round 1 | loss=1.6095 | time=0.7s
  [Client  7] Round 1 | loss=1.8339 | time=0.3s
  [Client 97] Round 1 | loss=1.7299 | time=1.0s
  [Client 45] Round 1 | loss=1.6769 | time=0.7s
  [Client 59] Round 1 | loss=1.7803 | time=0.7s
  [Client 65] Round 1 | loss=1.6583 | time=0.4s
  [Client 87] Round 1 | loss=1.5244 | time=0.6s
  [Client 14] Round 1 | loss=2.1437 | time=0.5s
  [Client 53] Round 1 | loss=1.7380 | time=0.8s
  [Client 93] Round 1 | loss=1.6572 | time=0.3s
  [Client 19] Round 1 | loss=1.3767 | time=1.7s
  [Client 17] Round 1 | loss=1.8504 | time=0.3s
  [Client 75] Round 1 | loss=2.0089 | time=0.6s
  [Client 66] Round 1 | loss=1.8597 | time=1.1s
  [Client 54] Round 1 | loss=1.8950 | time=1.2s
  [Client 61] Round 1 | loss=1.4120 | time=0.6s
  [Client 35] Round 1 | loss=1.5341 | time=0.8s
  [Client 27] Round 1 | loss=1.3848 | time=1.8s
  [Client 89] Round 1 | loss=1.9204 | time=0.6s
  [Client 48] Round 1 | loss=1.5386 | time=1.3s
  [Client 67] Round 1 | loss=1.6992 | time=1.5s
  [Client 32] Round 1 | loss=1.6569 | time=0.8s
  [Client 90] Round 1 | loss=1.9350 | time=0.9s
  [Client 24] Round 1 | loss=1.7537 | time=1.7s
  [Client 82] Round 1 | loss=1.6620 | time=0.6s
  [Client 44] Round 1 | loss=1.3064 | time=1.0s
  [Client 40] Round 1 | loss=1.8519 | time=0.7s
  [Client 23] Round 1 | loss=1.5751 | time=0.6s
  [Client 55] Round 1 | loss=1.8025 | time=0.9s
  [Client 29] Round 1 | loss=1.6451 | time=2.2s
  [Client 72] Round 1 | loss=1.8171 | time=1.6s
  [Client 64] Round 1 | loss=1.6421 | time=0.3s
  [Client 16] Round 1 | loss=1.8944 | time=0.8s
  [Client 74] Round 1 | loss=1.6155 | time=0.8s
  [Client 12] Round 1 | loss=1.6739 | time=0.6s
  [Client 86] Round 1 | loss=1.9126 | time=0.4s
  [Client 92] Round 1 | loss=1.6920 | time=0.6s
  [Client 36] Round 1 | loss=1.4972 | time=1.1s
  [Client 58] Round 1 | loss=1.7604 | time=0.6s
  [Edge 0] G-Round 1 | E-Round 4 | loss=1.7122
  [Edge 0] G-Round 1 | E-Round 5 | Selected 68/98 clients
  [Client 45] Round 1 | loss=1.7465 | time=0.7s
  [Client 36] Round 1 | loss=1.5709 | time=1.1s
  [Client 12] Round 1 | loss=1.6379 | time=0.6s
