
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Broadcasting to 2 edges...
  [Edge 0] G1 | E1 | Hier-pFedMe | Selected 62/62
  [Client 23] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9788
  [Client 45] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.0554
  [Client  1] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.8980
  [Client 56] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9293
  [Client 44] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9330
  [Client 72] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.0232
  [Client 68] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9060
  [Client 53] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.8812
  [Client 26] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9607
  [Client 11] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.7942
  [Client 27] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.0842
  [Client 24] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.0964
  [Client 86] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9667
  [Client 30] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.8198
  [Client 60] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.0346
  [Edge 0] G1 | E2 | loss=3.9933
  [Edge 0] G1 | E3 | Hier-pFedMe | Selected 62/62
  [Client  4] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.8702
  [Client 30] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.7749
  [Client 76] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9562
  [Client  7] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.1354
  [Client 58] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9524
  [Client 18] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.8030
  [Client 38] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.8428
  [Client 79] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9806
  [Client 13] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.1066
  [Client 14] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.8859
  [Client 97] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.7345
  [Client 25] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.8167
  [Client 31] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9704
  [Client 74] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9304
  [Client 83] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9438
  [Client 21] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.7665
  [Client 44] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9022
